id;ref;province;town;cp;type_of_road;name_road;number;apartment;building;door;stair;urlgmaps;latitude;longitude
1;Secured productize;schemas;calculate program;Ghana Games magnetic;STREET;installation e-enable feed;84403;57292;97891;13929;Forward Sports Falkland Islands (Malvinas);Gold index;33828;73409
2;neural;District;Bike parse;Car Granite stable;AVENUE;pink;12214;8784;87783;87260;Concrete sky blue;Bolivar Fuerte backing up;85466;8536
3;European Unit of Account 17(E.U.A.-17) auxiliary parsing;Mali Orchestrator Plastic;Licensed Fresh Salad;open-source help-desk;AVENUE;Exclusive Incredible Fresh Keyboard;61096;36589;96594;54910;Austria;asynchronous invoice;97414;14705
4;Tactics redundant Pataca;turn-key Licensed;payment Bedfordshire JBOD;Cambridgeshire pixel Jewelery;PLACE;Licensed Granite Shirt Fresh;78420;1055;79391;76955;TCP Mauritius;interface Concrete yellow;29330;42465
5;synthesize Refined sky blue;drive bus;digital payment;Nigeria;AVENUE;Parks;11295;46962;33157;97702;Gardens Automotive;Rapid viral extensible;46203;32343
6;Zambia Director turn-key;Licensed Plastic Shirt;backing up Configuration;Checking Account Accounts;STREET;bifurcated XML Liberia;84687;66941;68353;64921;eyeballs Home Loan Account;Ameliorated;74372;38463
7;sensor plug-and-play Manager;Granite;New Mexico;Administrator Intelligent Soft Salad bandwidth;STREET;Dynamic;86110;86520;62677;39053;navigate Causeway;Arkansas;8429;25961
8;overriding input;Missouri;quantify Michigan;intermediate;PLACE;Internal;27736;99635;54118;87455;payment homogeneous;compelling;83455;97899
9;Zimbabwe primary;maximized;leverage online;turn-key bi-directional;STREET;Tasty plum;15072;3061;47277;23847;Texas;Land solution-oriented turquoise;752;60956
10;application salmon;Garden Forge Nebraska;killer;Borders connecting hacking;STREET;compressing;82121;4064;59;83015;scale cross-platform;Facilitator;65920;87866
